"BioSample.Accession"	"Assembly.Accession"	"Status"	"nuccore_first_chrom"	"Release.Date"	"Modify.Date"	"id"	"title"	"platform"	"instrument_model"	"study_acc"	"organism_ScientificName"	"organism_taxid"	"bioproject"	"runCreateDate"	"runUpdateDate"	"nSRAs"	"run_SRAs"	"run_sizes"	"run_publicities"
"SAMN02598298"	"GCA_000015245.1"	"Complete Genome"	"NC_008700.1"	"2006/12/21"	"2017/05/19"	2807811	"Shewanella amazonesis SB2B"	"ILLUMINA"	"Illumina Genome Analyzer II"	"SRP004367"	"Shewanella amazonensis SB2B"	"326297"	"PRJNA13385"	"2016/07/14"	"2016/07/14"	"1"	"SRR3923442"	"4744164604"	"true"
"SAMN02598298"	"GCA_000015245.1"	"Complete Genome"	"NC_008700.1"	"2006/12/21"	"2017/05/19"	2807823	"Shewanella amazonesis SB2B"	"ILLUMINA"	"Illumina Genome Analyzer II"	"SRP004367"	"Shewanella amazonensis SB2B"	"326297"	"PRJNA13385"	"2016/07/14"	"2016/07/14"	"1"	"SRR3923454"	"639033308"	"true"
"SAMN02598298"	"GCA_000015245.1"	"Complete Genome"	"NC_008700.1"	"2006/12/21"	"2017/05/19"	2807815	"Shewanella amazonesis SB2B"	"ILLUMINA"	"Illumina Genome Analyzer II"	"SRP004367"	"Shewanella amazonensis SB2B"	"326297"	"PRJNA13385"	"2016/07/14"	"2016/07/14"	"1"	"SRR3923446"	"441067672"	"true"
"SAMN02598298"	"GCA_000015245.1"	"Complete Genome"	"NC_008700.1"	"2006/12/21"	"2017/05/19"	2807833	"Shewanella amazonesis SB2B"	"ILLUMINA"	"Illumina Genome Analyzer II"	"SRP004367"	"Shewanella amazonensis SB2B"	"326297"	"PRJNA13385"	"2016/07/14"	"2016/07/14"	"1"	"SRR3923464"	"386344152"	"true"
"SAMN02598298"	"GCA_000015245.1"	"Complete Genome"	"NC_008700.1"	"2006/12/21"	"2017/05/19"	2807813	"Shewanella amazonesis SB2B"	"ILLUMINA"	"Illumina Genome Analyzer II"	"SRP004367"	"Shewanella amazonensis SB2B"	"326297"	"PRJNA13385"	"2016/07/14"	"2016/07/14"	"1"	"SRR3923444"	"4479293357"	"true"
"SAMN02598298"	"GCA_000015245.1"	"Complete Genome"	"NC_008700.1"	"2006/12/21"	"2017/05/19"	2807822	"Shewanella amazonesis SB2B"	"ILLUMINA"	"Illumina Genome Analyzer II"	"SRP004367"	"Shewanella amazonensis SB2B"	"326297"	"PRJNA13385"	"2016/07/14"	"2016/07/14"	"1"	"SRR3923453"	"2132602674"	"true"
"SAMN02598298"	"GCA_000015245.1"	"Complete Genome"	"NC_008700.1"	"2006/12/21"	"2017/05/19"	2807810	"Shewanella amazonesis SB2B"	"ILLUMINA"	"Illumina Genome Analyzer II"	"SRP004367"	"Shewanella amazonensis SB2B"	"326297"	"PRJNA13385"	"2016/07/14"	"2016/07/14"	"1"	"SRR3923441"	"4124217636"	"true"
"SAMN02598298"	"GCA_000015245.1"	"Complete Genome"	"NC_008700.1"	"2006/12/21"	"2017/05/19"	2807824	"Shewanella amazonesis SB2B"	"ILLUMINA"	"Illumina Genome Analyzer II"	"SRP004367"	"Shewanella amazonensis SB2B"	"326297"	"PRJNA13385"	"2016/07/14"	"2016/07/14"	"1"	"SRR3923455"	"493783476"	"true"
"SAMN02598298"	"GCA_000015245.1"	"Complete Genome"	"NC_008700.1"	"2006/12/21"	"2017/05/19"	2807837	"Shewanella amazonesis SB2B"	"ILLUMINA"	"Illumina Genome Analyzer II"	"SRP004367"	"Shewanella amazonensis SB2B"	"326297"	"PRJNA13385"	"2016/07/14"	"2016/07/14"	"1"	"SRR3923468"	"609954120"	"true"
"SAMN02598298"	"GCA_000015245.1"	"Complete Genome"	"NC_008700.1"	"2006/12/21"	"2017/05/19"	2807831	"Shewanella amazonesis SB2B"	"ILLUMINA"	"Illumina Genome Analyzer II"	"SRP004367"	"Shewanella amazonensis SB2B"	"326297"	"PRJNA13385"	"2016/07/14"	"2016/07/14"	"1"	"SRR3923462"	"431065325"	"true"
"SAMN02598298"	"GCA_000015245.1"	"Complete Genome"	"NC_008700.1"	"2006/12/21"	"2017/05/19"	2807834	"Shewanella amazonesis SB2B"	"ILLUMINA"	"Illumina Genome Analyzer II"	"SRP004367"	"Shewanella amazonensis SB2B"	"326297"	"PRJNA13385"	"2016/07/14"	"2016/07/14"	"1"	"SRR3923465"	"445386904"	"true"
"SAMN02598298"	"GCA_000015245.1"	"Complete Genome"	"NC_008700.1"	"2006/12/21"	"2017/05/19"	2807830	"Shewanella amazonesis SB2B"	"ILLUMINA"	"Illumina Genome Analyzer II"	"SRP004367"	"Shewanella amazonensis SB2B"	"326297"	"PRJNA13385"	"2016/07/14"	"2016/07/14"	"1"	"SRR3923461"	"352671876"	"true"
"SAMN02598298"	"GCA_000015245.1"	"Complete Genome"	"NC_008700.1"	"2006/12/21"	"2017/05/19"	2807808	"Shewanella amazonesis SB2B"	"ILLUMINA"	"Illumina Genome Analyzer II"	"SRP004367"	"Shewanella amazonensis SB2B"	"326297"	"PRJNA13385"	"2016/07/14"	"2016/07/14"	"1"	"SRR3923439"	"2317108064"	"true"
"SAMN02598298"	"GCA_000015245.1"	"Complete Genome"	"NC_008700.1"	"2006/12/21"	"2017/05/19"	2807814	"Shewanella amazonesis SB2B"	"ILLUMINA"	"Illumina Genome Analyzer II"	"SRP004367"	"Shewanella amazonensis SB2B"	"326297"	"PRJNA13385"	"2016/07/14"	"2016/07/14"	"1"	"SRR3923445"	"365480884"	"true"
"SAMN02598298"	"GCA_000015245.1"	"Complete Genome"	"NC_008700.1"	"2006/12/21"	"2017/05/19"	2807812	"Shewanella amazonesis SB2B"	"ILLUMINA"	"Illumina Genome Analyzer II"	"SRP004367"	"Shewanella amazonensis SB2B"	"326297"	"PRJNA13385"	"2016/07/14"	"2016/07/14"	"1"	"SRR3923443"	"3709604205"	"true"
"SAMN02598298"	"GCA_000015245.1"	"Complete Genome"	"NC_008700.1"	"2006/12/21"	"2017/05/19"	2807838	"Shewanella amazonesis SB2B"	"ILLUMINA"	"Illumina Genome Analyzer II"	"SRP004367"	"Shewanella amazonensis SB2B"	"326297"	"PRJNA13385"	"2016/07/14"	"2016/07/14"	"1"	"SRR3923469"	"2273432496"	"true"
"SAMN02598298"	"GCA_000015245.1"	"Complete Genome"	"NC_008700.1"	"2006/12/21"	"2017/05/19"	2807821	"Shewanella amazonesis SB2B"	"ILLUMINA"	"Illumina Genome Analyzer II"	"SRP004367"	"Shewanella amazonensis SB2B"	"326297"	"PRJNA13385"	"2016/07/14"	"2016/07/14"	"1"	"SRR3923452"	"483592788"	"true"
"SAMN02598298"	"GCA_000015245.1"	"Complete Genome"	"NC_008700.1"	"2006/12/21"	"2017/05/19"	2807825	"Shewanella amazonesis SB2B"	"ILLUMINA"	"Illumina Genome Analyzer II"	"SRP004367"	"Shewanella amazonensis SB2B"	"326297"	"PRJNA13385"	"2016/07/14"	"2016/07/14"	"1"	"SRR3923456"	"390644712"	"true"
"SAMN02598298"	"GCA_000015245.1"	"Complete Genome"	"NC_008700.1"	"2006/12/21"	"2017/05/19"	2807826	"Shewanella amazonesis SB2B"	"ILLUMINA"	"Illumina Genome Analyzer II"	"SRP004367"	"Shewanella amazonensis SB2B"	"326297"	"PRJNA13385"	"2016/07/14"	"2016/07/14"	"1"	"SRR3923457"	"811561136"	"true"
"SAMN02598298"	"GCA_000015245.1"	"Complete Genome"	"NC_008700.1"	"2006/12/21"	"2017/05/19"	2807835	"Shewanella amazonesis SB2B"	"ILLUMINA"	"Illumina Genome Analyzer II"	"SRP004367"	"Shewanella amazonensis SB2B"	"326297"	"PRJNA13385"	"2016/07/14"	"2016/07/14"	"1"	"SRR3923466"	"3411682232"	"true"
"SAMN02598298"	"GCA_000015245.1"	"Complete Genome"	"NC_008700.1"	"2006/12/21"	"2017/05/19"	2807805	"Shewanella amazonesis SB2B"	"ILLUMINA"	"Illumina Genome Analyzer II"	"SRP004367"	"Shewanella amazonensis SB2B"	"326297"	"PRJNA13385"	"2016/07/14"	"2016/07/14"	"1"	"SRR3923436"	"3419394996"	"true"
"SAMN02598298"	"GCA_000015245.1"	"Complete Genome"	"NC_008700.1"	"2006/12/21"	"2017/05/19"	2807820	"Shewanella amazonesis SB2B"	"ILLUMINA"	"Illumina Genome Analyzer II"	"SRP004367"	"Shewanella amazonensis SB2B"	"326297"	"PRJNA13385"	"2016/07/14"	"2016/07/14"	"1"	"SRR3923451"	"389281500"	"true"
"SAMN02598298"	"GCA_000015245.1"	"Complete Genome"	"NC_008700.1"	"2006/12/21"	"2017/05/19"	2807806	"Shewanella amazonesis SB2B"	"ILLUMINA"	"Illumina Genome Analyzer II"	"SRP004367"	"Shewanella amazonensis SB2B"	"326297"	"PRJNA13385"	"2016/07/14"	"2016/07/14"	"1"	"SRR3923437"	"1892697984"	"true"
"SAMN02598298"	"GCA_000015245.1"	"Complete Genome"	"NC_008700.1"	"2006/12/21"	"2017/05/19"	2807807	"Shewanella amazonesis SB2B"	"ILLUMINA"	"Illumina Genome Analyzer II"	"SRP004367"	"Shewanella amazonensis SB2B"	"326297"	"PRJNA13385"	"2016/07/14"	"2016/07/14"	"1"	"SRR3923438"	"3205902206"	"true"
"SAMN02598298"	"GCA_000015245.1"	"Complete Genome"	"NC_008700.1"	"2006/12/21"	"2017/05/19"	2807836	"Shewanella amazonesis SB2B"	"ILLUMINA"	"Illumina Genome Analyzer II"	"SRP004367"	"Shewanella amazonensis SB2B"	"326297"	"PRJNA13385"	"2016/07/14"	"2016/07/14"	"1"	"SRR3923467"	"2168845114"	"true"
"SAMN02598298"	"GCA_000015245.1"	"Complete Genome"	"NC_008700.1"	"2006/12/21"	"2017/05/19"	2807816	"Shewanella amazonesis SB2B"	"ILLUMINA"	"Illumina Genome Analyzer II"	"SRP004367"	"Shewanella amazonensis SB2B"	"326297"	"PRJNA13385"	"2016/07/14"	"2016/07/14"	"1"	"SRR3923447"	"507449264"	"true"
"SAMN02598298"	"GCA_000015245.1"	"Complete Genome"	"NC_008700.1"	"2006/12/21"	"2017/05/19"	2807832	"Shewanella amazonesis SB2B"	"ILLUMINA"	"Illumina Genome Analyzer II"	"SRP004367"	"Shewanella amazonensis SB2B"	"326297"	"PRJNA13385"	"2016/07/14"	"2016/07/14"	"1"	"SRR3923463"	"388367316"	"true"
"SAMN02598298"	"GCA_000015245.1"	"Complete Genome"	"NC_008700.1"	"2006/12/21"	"2017/05/19"	2807829	"Shewanella amazonesis SB2B"	"ILLUMINA"	"Illumina Genome Analyzer II"	"SRP004367"	"Shewanella amazonensis SB2B"	"326297"	"PRJNA13385"	"2016/07/14"	"2016/07/14"	"1"	"SRR3923460"	"459110355"	"true"
"SAMN02598298"	"GCA_000015245.1"	"Complete Genome"	"NC_008700.1"	"2006/12/21"	"2017/05/19"	2807819	"Shewanella amazonesis SB2B"	"ILLUMINA"	"Illumina Genome Analyzer II"	"SRP004367"	"Shewanella amazonensis SB2B"	"326297"	"PRJNA13385"	"2016/07/14"	"2016/07/14"	"1"	"SRR3923450"	"241316796"	"true"
"SAMN02598298"	"GCA_000015245.1"	"Complete Genome"	"NC_008700.1"	"2006/12/21"	"2017/05/19"	2807817	"Shewanella amazonesis SB2B"	"ILLUMINA"	"Illumina Genome Analyzer II"	"SRP004367"	"Shewanella amazonensis SB2B"	"326297"	"PRJNA13385"	"2016/07/14"	"2016/07/14"	"1"	"SRR3923448"	"459131884"	"true"
"SAMN02598298"	"GCA_000015245.1"	"Complete Genome"	"NC_008700.1"	"2006/12/21"	"2017/05/19"	2807818	"Shewanella amazonesis SB2B"	"ILLUMINA"	"Illumina Genome Analyzer II"	"SRP004367"	"Shewanella amazonensis SB2B"	"326297"	"PRJNA13385"	"2016/07/14"	"2016/07/14"	"1"	"SRR3923449"	"117889832"	"true"
"SAMN02598298"	"GCA_000015245.1"	"Complete Genome"	"NC_008700.1"	"2006/12/21"	"2017/05/19"	2807828	"Shewanella amazonesis SB2B"	"ILLUMINA"	"Illumina Genome Analyzer II"	"SRP004367"	"Shewanella amazonensis SB2B"	"326297"	"PRJNA13385"	"2016/07/14"	"2016/07/14"	"1"	"SRR3923459"	"459454656"	"true"
"SAMN02598298"	"GCA_000015245.1"	"Complete Genome"	"NC_008700.1"	"2006/12/21"	"2017/05/19"	2807827	"Shewanella amazonesis SB2B"	"ILLUMINA"	"Illumina Genome Analyzer II"	"SRP004367"	"Shewanella amazonensis SB2B"	"326297"	"PRJNA13385"	"2016/07/14"	"2016/07/14"	"1"	"SRR3923458"	"434158740"	"true"
"SAMN02598299"	"GCA_000015845.1"	"Complete Genome"	"NC_009052.1"	"2007/02/20"	"2017/05/19"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02598300"	"GCA_000013765.1"	"Complete Genome"	"NC_007954.1"	"2006/04/10"	"2017/05/19"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02598301"	"GCA_000014705.1"	"Complete Genome"	"NC_008345.1"	"2006/09/14"	"2017/05/19"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02598302"	"GCA_000015505.1"	"Complete Genome"	"NC_008781.1"	"2007/01/04"	"2017/05/19"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02598303"	"GCA_000196275.1"	"Complete Genome"	"NC_008025.1"	"2006/05/04"	"2017/04/17"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02598304"	"GCA_000016165.1"	"Complete Genome"	"NC_009253.1"	"2007/03/24"	"2017/04/17"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02598305"	"GCA_000014225.1"	"Complete Genome"	"NC_008228.1"	"2006/06/28"	"2017/05/19"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02598306"	"GCA_000017805.1"	"Complete Genome"	"NC_009767.1"	"2007/08/23"	"2017/05/19"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02598307"	"GCA_000013885.1"	"Complete Genome"	"NC_007964.1"	"2006/04/11"	"2017/05/19"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02598308"	"GCA_000012725.1"	"Complete Genome"	"NC_007406.1"	"2005/09/12"	"2017/04/06"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02598309"	"GCA_000203915.1"	"Complete Genome"	"NC_008390.1"	"2006/09/21"	"2017/08/28"	2807901	"Burkholderia cepacia AMMD"	"ILLUMINA"	"Illumina Genome Analyzer II"	"SRP078528"	"Burkholderia ambifaria AMMD"	"339670"	"PRJNA13490"	"2016/07/14"	"2016/07/14"	"1"	"SRR3923532"	"2547172996"	"true"
"SAMN02598309"	"GCA_000203915.1"	"Complete Genome"	"NC_008390.1"	"2006/09/21"	"2017/08/28"	2807900	"Burkholderia cepacia AMMD"	"ILLUMINA"	"Illumina Genome Analyzer II"	"SRP078528"	"Burkholderia ambifaria AMMD"	"339670"	"PRJNA13490"	"2016/07/14"	"2016/07/14"	"1"	"SRR3923531"	"643118544"	"true"
"SAMN02598310"	"GCA_000017425.1"	"Complete Genome"	"NC_009674.1"	"2007/07/17"	"2017/08/28"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02598311"	"GCA_000012625.1"	"Complete Genome"	"NC_007516.1"	"2005/10/27"	"2017/04/17"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02598312"	"GCA_000012505.1"	"Complete Genome"	"NC_007513.1"	"2005/10/26"	"2017/04/17"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02598313"	"GCA_000014485.1"	"Complete Genome"	"NC_008532.1"	"2006/10/13"	"2017/04/11"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02598314"	"GCA_000019085.1"	"Complete Genome"	"NC_010321.1"	"2008/02/05"	"2017/04/17"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02598315"	"GCA_000015185.1"	"Complete Genome"	"NC_008750.1"	"2007/01/03"	"2017/05/19"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02598316"	"GCA_000014665.1"	"Complete Genome"	"NC_008322.1"	"2006/09/01"	"2017/05/19"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02598317"	"GCA_000014685.1"	"Complete Genome"	"NC_008321.1"	"2006/09/01"	"2017/05/19"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02598318"	"GCA_000203935.1"	"Complete Genome"	"NC_008577.1"	"2006/11/08"	"2017/05/19"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02598319"	"GCA_000013985.1"	"Complete Genome"	"NC_008048.1"	"2006/05/18"	"2017/04/17"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02598320"	"GCA_000013605.1"	"Complete Genome"	"NC_007908.1"	"2006/03/10"	"2017/05/19"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02598321"	"GCA_000012645.1"	"Complete Genome"	"NC_007577.1"	"2005/11/02"	"2017/03/29"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02598322"	"GCA_000196355.1"	"Complete Genome"	"NC_007614.1"	"2005/11/15"	"2017/03/30"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02598323"	"GCA_000014765.1"	"Complete Genome"	"NC_008344.1"	"2006/09/13"	"2017/04/10"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02598324"	"GCA_000017945.1"	"Complete Genome"	"NC_009776.1"	"2007/08/29"	"2017/04/17"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02598325"	"GCA_000018005.1"	"Complete Genome"	"NC_009921.1"	"2007/10/10"	"2017/05/18"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02598326"	"GCA_000014085.1"	"Complete Genome"	"NC_008060.1"	"2006/06/01"	"2017/05/18"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02598327"	"GCA_000013905.1"	"Complete Genome"	"NC_007969.1"	"2006/04/18"	"2017/04/17"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02598328"	"GCA_000012585.1"	"Complete Genome"	"NC_007514.1"	"2005/10/26"	"2017/04/17"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02598329"	"GCA_000012805.1"	"Complete Genome"	"NC_007484.1"	"2005/10/04"	"2017/04/06"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02598330"	"GCA_000016385.1"	"Complete Genome"	"CP000660.1"	"2007/04/16"	"2014/01/28"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02598331"	"GCA_000017865.1"	"Complete Genome"	"NC_009828.1"	"2007/09/18"	"2017/08/28"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02598332"	"GCA_000019805.1"	"Complete Genome"	"CP001014.1"	"2008/03/27"	"2017/08/25"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02598333"	"GCA_000015545.1"	"Complete Genome"	"NC_008782.1"	"2007/01/04"	"2017/05/18"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02598334"	"GCA_000015325.1"	"Complete Genome"	"NC_008752.1"	"2007/01/04"	"2017/05/18"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02598335"	"GCA_000013365.1"	"Complete Genome"	"NC_007778.1"	"2006/02/06"	"2017/05/19"	2807241	"Rhodopseudomonas palustris HaA2"	"ILLUMINA"	"Illumina Genome Analyzer II"	"SRP078518"	"Rhodopseudomonas palustris HaA2"	"316058"	"PRJNA15747"	"2016/07/14"	"2016/07/14"	"1"	"SRR3922858"	"621428076"	"true"
"SAMN02598335"	"GCA_000013365.1"	"Complete Genome"	"NC_007778.1"	"2006/02/06"	"2017/05/19"	2807242	"Rhodopseudomonas palustris HaA2"	"ILLUMINA"	"Illumina Genome Analyzer II"	"SRP078518"	"Rhodopseudomonas palustris HaA2"	"316058"	"PRJNA15747"	"2016/07/14"	"2016/07/14"	"1"	"SRR3922859"	"2389313442"	"true"
"SAMN02598336"	"GCA_000013685.1"	"Complete Genome"	"NC_007958.1"	"2006/04/10"	"2017/05/19"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02598337"	"GCA_000013745.1"	"Complete Genome"	"NC_007925.1"	"2006/03/21"	"2017/05/19"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02598338"	"GCA_000014825.1"	"Complete Genome"	"NC_008435.1"	"2006/10/04"	"2017/05/19"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02598339"	"GCA_000016725.1"	"Complete Genome"	"NC_009484.1"	"2007/05/11"	"2017/04/06"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02598340"	"GCA_000015985.1"	"Complete Genome"	"NC_009049.1"	"2007/02/23"	"2017/05/19"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02598341"	"GCA_000016405.1"	"Complete Genome"	"NC_009428.1"	"2007/04/20"	"2017/05/19"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02598342"	"GCA_000017645.1"	"Complete Genome"	"NC_009720.1"	"2007/07/30"	"2017/05/19"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02598343"	"GCA_000016805.1"	"Complete Genome"	"NC_009487.1"	"2007/05/18"	"2017/03/02"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02598344"	"GCA_000017125.1"	"Complete Genome"	"NC_009632.1"	"2007/06/28"	"2017/03/02"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02598345"	"GCA_000016885.1"	"Complete Genome"	"NC_009524.1"	"2007/06/04"	"2017/04/17"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02598346"	"GCA_000016365.1"	"Complete Genome"	"NC_009338.1"	"2007/04/13"	"2017/05/19"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02598347"	"GCA_000015305.1"	"Complete Genome"	"NC_008726.1"	"2006/12/27"	"2017/05/19"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02598348"	"GCA_000014165.1"	"Complete Genome"	"NC_008146.1"	"2006/06/09"	"2017/05/18"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02598349"	"GCA_000014785.1"	"Complete Genome"	"NC_008340.1"	"2006/09/12"	"2017/04/17"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02598350"	"GCA_000014945.1"	"Complete Genome"	"CP000477.1"	"2006/10/25"	"2014/01/28"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02598351"	"GCA_000016825.1"	"Complete Genome"	"NC_009513.1"	"2007/06/01"	"2017/03/30"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02598352"	"GCA_000016745.1"	"Complete Genome"	"NC_009483.1"	"2007/05/11"	"2017/05/18"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02598353"	"GCA_000016705.1"	"Complete Genome"	"NC_009455.1"	"2007/05/07"	"2017/08/28"	2807944	"Dehalococcoides sp. BAV1"	"ILLUMINA"	"Illumina Genome Analyzer II"	"SRP078534"	"Dehalococcoides mccartyi BAV1"	"216389"	"PRJNA15770"	"2016/07/14"	"2016/07/14"	"1"	"SRR3923575"	"555364006"	"true"
"SAMN02598353"	"GCA_000016705.1"	"Complete Genome"	"NC_009455.1"	"2007/05/07"	"2017/08/28"	2807941	"Dehalococcoides sp. BAV1"	"ILLUMINA"	"Illumina Genome Analyzer II"	"SRP078534"	"Dehalococcoides mccartyi BAV1"	"216389"	"PRJNA15770"	"2016/07/14"	"2016/07/14"	"1"	"SRR3923572"	"398028960"	"true"
"SAMN02598353"	"GCA_000016705.1"	"Complete Genome"	"NC_009455.1"	"2007/05/07"	"2017/08/28"	2807947	"Dehalococcoides sp. BAV1"	"ILLUMINA"	"Illumina Genome Analyzer II"	"SRP078534"	"Dehalococcoides mccartyi BAV1"	"216389"	"PRJNA15770"	"2016/07/14"	"2016/07/14"	"1"	"SRR3923578"	"2373521575"	"true"
"SAMN02598353"	"GCA_000016705.1"	"Complete Genome"	"NC_009455.1"	"2007/05/07"	"2017/08/28"	2807950	"Dehalococcoides sp. BAV1"	"ILLUMINA"	"Illumina Genome Analyzer II"	"SRP078534"	"Dehalococcoides mccartyi BAV1"	"216389"	"PRJNA15770"	"2016/07/14"	"2016/07/14"	"1"	"SRR3923581"	"596357640"	"true"
"SAMN02598353"	"GCA_000016705.1"	"Complete Genome"	"NC_009455.1"	"2007/05/07"	"2017/08/28"	2807940	"Dehalococcoides sp. BAV1"	"ILLUMINA"	"Illumina Genome Analyzer II"	"SRP078534"	"Dehalococcoides mccartyi BAV1"	"216389"	"PRJNA15770"	"2016/07/14"	"2016/07/14"	"1"	"SRR3923571"	"418599000"	"true"
"SAMN02598353"	"GCA_000016705.1"	"Complete Genome"	"NC_009455.1"	"2007/05/07"	"2017/08/28"	2807942	"Dehalococcoides sp. BAV1"	"ILLUMINA"	"Illumina Genome Analyzer II"	"SRP078534"	"Dehalococcoides mccartyi BAV1"	"216389"	"PRJNA15770"	"2016/07/14"	"2016/07/14"	"1"	"SRR3923573"	"606229136"	"true"
"SAMN02598353"	"GCA_000016705.1"	"Complete Genome"	"NC_009455.1"	"2007/05/07"	"2017/08/28"	2807938	"Dehalococcoides sp. BAV1"	"ILLUMINA"	"Illumina Genome Analyzer II"	"SRP078534"	"Dehalococcoides mccartyi BAV1"	"216389"	"PRJNA15770"	"2016/07/14"	"2016/07/14"	"1"	"SRR3923569"	"458961408"	"true"
"SAMN02598353"	"GCA_000016705.1"	"Complete Genome"	"NC_009455.1"	"2007/05/07"	"2017/08/28"	2807943	"Dehalococcoides sp. BAV1"	"ILLUMINA"	"Illumina Genome Analyzer II"	"SRP078534"	"Dehalococcoides mccartyi BAV1"	"216389"	"PRJNA15770"	"2016/07/14"	"2016/07/14"	"1"	"SRR3923574"	"470703800"	"true"
